Plot,Biomass_09,Biomass_13,Biomass_15,Delta_Biomass_Mg_15t09,Delta_Biomass_Mg_15t13,Delta_Biomass_Mg_13t09
plot_01_01_1,36.12657681,37.84324161,37.12699226,1.000415446,-0.716249354,1.716664801
plot_01_02_1,41.33524428,42.5836195,40.38639917,-0.948845114,-2.197220326,1.248375212
plot_01_02_2,32.1217003,33.54574478,34.18864004,2.066939743,0.642895264,1.424044479
plot_01_02_3,22.29107003,22.74138616,22.62355787,0.332487839,-0.117828288,0.450316127
plot_01_02_4,23.47977002,24.22651644,25.53220773,2.052437708,1.305691286,0.746746422
plot_01_03_1,38.81966269,30.33064878,24.17970521,-14.63995748,-6.15094357,-8.489013912
plot_01_03_3,44.91116017,39.17089942,41.79686185,-3.114298317,2.625962429,-5.740260746
plot_02_01_1,33.56086017,33.29311062,34.29572423,0.734864059,1.002613606,-0.267749547
plot_02_01_2,18.99638789,17.14256704,18.68171148,-0.314676409,1.539144436,-1.853820845
plot_02_01_3,45.50875235,45.91423485,49.35990508,3.851152728,3.445670231,0.405482497
plot_02_01_4,28.57507519,28.33146706,28.75898841,0.183913223,0.427521345,-0.243608122
plot_02_01_5,52.53146907,49.93438507,57.30252752,4.77105845,7.368142446,-2.597083996
plot_02_01_6,10.05384595,10.97231295,11.86910863,1.815262676,0.896795681,0.918466996
plot_02_02_1,38.00375728,39.37300614,40.20169384,2.19793656,0.828687698,1.369248862
plot_02_02_2,27.2040302,30.82099628,32.22185563,5.017825427,1.400859355,3.616966073
plot_02_02_3,23.19219876,24.09705107,25.04740329,1.855204534,0.950352223,0.904852311
plot_02_02_4,29.21554822,29.88760501,30.70695802,1.491409796,0.819353013,0.672056784
plot_02_02_5,32.15684724,32.47033752,31.90439732,-0.252449924,-0.565940198,0.313490274
plot_02_02_6,34.28046113,26.21187509,33.06761035,-1.212850776,6.85573526,-8.068586037
plot_02_03_1,24.02124853,21.86836526,17.38378587,-6.63746266,-4.484579391,-2.152883269
plot_02_03_2,35.98021082,31.05005713,31.60224335,-4.377967473,0.552186219,-4.930153692
plot_02_03_3,20.86448014,20.94110764,20.70614232,-0.158337817,-0.234965318,0.076627501
plot_02_03_4,29.47899999,30.27713698,31.07904956,1.600049575,0.80191258,0.798136995
plot_02_03_5,31.27546105,22.04605879,21.33049451,-9.944966535,-0.715564284,-9.229402251
plot_02_03_6,23.04780102,19.31008093,16.51488284,-6.532918176,-2.79519809,-3.737720086
plot_02_04_1,31.55386327,16.7801316,9.801062914,-21.75280035,-6.979068683,-14.77373167
plot_02_04_2,24.18979405,,16.2402183,-7.949575753,16.2402183,-24.18979405
plot_02_04_3,31.47949365,13.11162566,16.61327084,-14.86622281,3.501645183,-18.36786799
plot_02_04_4,22.27299343,14.16934221,12.56815633,-9.704837098,-1.601185878,-8.103651219
plot_02_04_5,43.76438314,29.75567772,26.67365235,-17.09073079,-3.082025371,-14.00870542
plot_02_04_6,43.37185588,32.34917961,6.092031668,-37.27982421,-26.25714794,-11.02267627
plot_03_01_1,18.22581475,18.00588736,18.85887561,0.633060856,0.852988254,-0.219927398
plot_03_01_2,4.938175408,3.918831568,5.97193591,1.033760502,2.053104342,-1.01934384
