Plot,Elev_max_09,Elev_max_15,Delta_Elev_max,Elev_mean_09,Elev_mean_15,Delta_Elev_mean,Elev_mode_09,Elev_mode_15,Delta_Elev_mode,Elev_stddev_09,Elev_stddev_15,Delta_Elev_stddev,Elev_variance_09,Elev_variance_15,Delta_Elev_variance,Elev_CV_09,Elev_CV_15,Delta_Elev_CV,Elev_kurtosis_09,Elev_kurtosis_15,Delta_Elev_kurtosis,Elev_AAD_09,Elev_AAD_15,Delta_Elev_AAD,Elev_P01_09,Elev_P01_15,Delta_Elev_P01,Elev_P05_09,Elev_P05_15,Delta_Elev_P05,Elev_P10_09,Elev_P10_15,Delta_Elev_P10,Elev_P20_09,Elev_P20_15,Delta_Elev_P20,Elev_P25_09,Elev_P25_15,Delta_Elev_P25,Elev_P30_09,Elev_P30_15,Delta_Elev_P30,Elev_P40_09,Elev_P40_15,Delta_Elev_P40,Elev_P50_09,Elev_P50_15,Delta_Elev_P50,Elev_P60_09,Elev_P60_15,Delta_Elev_P60,Elev_P70_09,Elev_P70_15,Delta_Elev_P70,Elev_P75_09,Elev_P75_15,Delta_Elev_P75,Elev_P80_09,Elev_P80_15,Delta_Elev_P80,Elev_P90_09,Elev_P90_15,Delta_Elev_P90,Elev_P95_09,Elev_P95_15,Delta_Elev_P95,Elev_P99_09,Elev_P99_15,Delta_Elev_P99,Canopy_relief_ratio_09,Canopy_relief_ratio_15,Delta_Canopy_relief_ratio,Int_mean_09,Int_mean_15,Delta_Int_mean,Int_stddev_09,Int_stddev_15,Detla_Int_stddev,Int_variance_09,Int_variance_15,Delta_Int_variance,Int_CV_09,Int_CV_15,Delta_Int_CV,Int_skewness_09,Int_skewness_09,Delta_Int_skewness,Int_kurtosis_09,Int_kurtosis_15,Delta_Int_kurtosis,Int_AAD_09,Int_AAD_15,Delta_Int_AAD,Canopy_Cover_fr_09,Canopy_Cover_fr_15,Delta_Canopy_Cover_fr,Canopy_Cover_ar_09,Canopy_Cover_ar_15,Delta_Canopy_Cover_ar,Percentage_first_returns_above_mean_09,Percentage_first_returns_above_mean_15,Delta_Percentage_first_returns_above_mean,Elev_strata_(0.00_to_0.15)_canopy_cover_09,Elev_strata_(0.00_to_0.15)_canopy_cover_15,Delta_Elev_strata_(0.00_to_0.15)_canopy_cover,Elev_strata_(0.15_to_0.50)_canopy_cover_09,Elev_strata_(0.15_to_0.50)_canopy_cover_15,Delta_Elev_strata_(0.15_to_0.50)_canopy_cover,Elev_strata_(0.50_to_1.00)_canopy_cover_09,Elev_strata_(0.50_to_1.00)_canopy_cover_15,Delta_Elev_strata_(0.50_to_1.00)_canopy_cover,Elev_strata_(1.00_to_1.50)_canopy_cover_09,Elev_strata_(1.00_to_1.50)_canopy_cover_15,Delta_Elev_strata_(1.00_to_1.50)_canopy_cover,Elev_strata_(1.50_to_2.00)_canopy_cover_09,Elev_strata_(1.50_to_2.00)_canopy_cover_15,Delta_Elev_strata_(1.50_to_2.00)_canopy_cover,Elev_strata_(2.00_to_2.50)_canopy_cover_09,Elev_strata_(2.00_to_2.50)_canopy_cover_15,Delta_Elev_strata_(2.00_to_2.50)_canopy_cover,Elev_strata_(2.50_to_3.00)_canopy_cover_09,Elev_strata_(2.50_to_3.00)_canopy_cover_15,Delta_Elev_strata_(2.50_to_3.00)_canopy_cover,Elev_strata_(3.00_to_6.00)_canopy_cover_09,Elev_strata_(3.00_to_6.00)_canopy_cover_15,Delta_Elev_strata_(3.00_to_6.00)_canopy_cover,Elev_strata_(6.00_to_9.00)_canopy_cover_09,Elev_strata_(6.00_to_9.00)_canopy_cover_15,Delta_Elev_strata_(6.00_to_9.00)_canopy_cover,Elev_strata_(9.00_to_12.00)_canopy_cover_09,Elev_strata_(9.00_to_12.00)_canopy_cover_15,Delta_Elev_strata_(9.00_to_12.00)_canopy_cover,Elev_strata_(12.00_to_15.00)_canopy_cover_09,Elev_strata_(12.00_to_15.00)_canopy_cover_15,Delta_Elev_strata_(12.00_to_15.00)_canopy_cover,Elev_strata_(15.00_to_18.00)_canopy_cover_09,Elev_strata_(15.00_to_18.00)_canopy_cover_15,Delta_Elev_strata_(15.00_to_18.00)_canopy_cover,Elev_strata_(18.00_to_24.00)_canopy_cover_09,Elev_strata_(18.00_to_24.00)_canopy_cover_15,Delta_Elev_strata_(18.00_to_24.00)_canopy_cover,Elev_strata_(24.00_to_30.00)_canopy_cover_09,Elev_strata_(24.00_to_30.00)_canopy_cover_15,Delta_Elev_strata_(24.00_to_30.00)_canopy_cover,Elev_strata_(30.00_to_36.00)_canopy_cover_09,Elev_strata_(30.00_to_36.00)_canopy_cover_15,Delta_Elev_strata_(30.00_to_36.00)_canopy_cover,Elev_strata_(36.00_to_42.00)_canopy_cover_09,Elev_strata_(36.00_to_42.00)_canopy_cover_15,Delta_Elev_strata_(36.00_to_42.00)_canopy_cover,Elev_strata_(42.00_to_48.00)_canopy_cover_09,Elev_strata_(42.00_to_48.00)_canopy_cover_15,Delta_Elev_strata_(42.00_to_48.00)_canopy_cover,Elev_strata_(48.00_to_100.00)_canopy_cover_09,Elev_strata_(48.00_to_100.00)_canopy_cover_15,Delta_Elev_strata_(48.00_to_100.00)_canopy_cover,Biomass_Mg_09,Biomass_Mg_15,Delta_Biomass_Mg
plot_01_01_1,38.52,39.470001,-0.950001,18.166323,18.173144,-0.006821,30.297778,16.573493,13.724285,9.733809,9.650425,0.083384,94.747042,93.130699,1.616343,0.535816,0.531027,0.004789,1.850473,1.893961,-0.043488,8.384579,8.290754,0.093825,1.719,1.84,-0.121,2.8775,3.16,-0.2825,4.61,4.955,-0.345,7.59,8.08,-0.49,9.295,9.53,-0.235,11.445,11.53,-0.085,15.66,15.24,0.42,18.790001,18.345001,0.445,21.82,21.620001,0.199999,24.605,24.634998,-0.029998,26.280001,26.059999,0.220002,27.9,27.73,0.17,30.690001,31.084999,-0.394998,32.797501,33.282501,-0.485,36.511498,36.810501,-0.299003,0.449901,0.438966,0.010935,47.081204,62.65258,-15.571376,35.313854,45.443765,-10.129911,1247.068286,2065.135768,-818.067482,0.750063,0.72533,0.024733,0.316209,0.796369,-0.48016,1.997373,2.932219,-0.934846,30.429799,36.926201,-6.496402,70.665571,73.7235,-3.057929,68.286604,71.096967,-2.810363,40.920296,43.983279,-3.062983,0.775561097,0.832399828,-0.056838731,0.104910714,0.149193548,-0.044282834,0.074380165,0.079932546,-0.005552381,0.047244094,0.03952057,0.007723524,0.05046729,0.036516854,0.013950436,0.027272727,0.033775633,-0.006502906,0.031690141,0.031824818,-0.000134677,0.167155425,0.175294967,-0.008139542,0.117723157,0.144769357,-0.0270462,0.089517079,0.108008817,-0.018491738,0.09197861,0.106369009,-0.014390399,0.091350826,0.103590347,-0.012239521,0.175480769,0.175442854,3.79E-05,0.141678129,0.145729685,-0.004051556,0.084959094,0.086450147,-0.001491053,0.009968847,0.011512542,-0.001543695,0,0,0,0,0,0,36.12657681,47.7763527,-11.64977589
plot_01_02_1,39.419998,39.77,-0.350002,17.913529,18.435478,-0.521949,13.54492,13.04873,0.49619,8.371488,8.126628,0.24486,70.081816,66.042086,4.03973,0.467328,0.440815,0.026513,2.408004,2.369487,0.038517,6.89534,6.755265,0.140075,1.8241,1.9527,-0.1286,3.327,4.1235,-0.7965,6.37,7.727,-1.357,10.304,11.38,-1.076,12.0875,12.64,-0.5525,13.16,13.56,-0.4,15.278,15.936,-0.658,18.33,18.889999,-0.559999,20.459999,21.139999,-0.68,22.549,23.280001,-0.731001,23.752501,24.190001,-0.4375,24.98,25.205999,-0.225999,28.709999,28.91,-0.200001,33.009998,32.5,0.509998,35.630001,35.3873,0.242701,0.432697,0.44238,-0.009683,50.646843,58.004471,-7.357628,40.619305,42.643268,-2.023963,1649.927966,1818.4483,-168.520334,0.802011,0.735172,0.066839,0.47683,1.051398,-0.574568,2.24293,3.803913,-1.560983,34.875428,33.246527,1.628901,85.500933,81.620932,3.880001,78.495575,71.869262,6.626313,47.386434,45.692406,1.694028,0.803478261,0.807445443,-0.003967182,0.358258929,0.162665711,0.195593218,0.053854277,0.060585661,-0.006731384,0.024716787,0.030035913,-0.005319126,0.055447471,0.027001271,0.0284462,0.04372093,0.034947885,0.008773045,0.045293073,0.0207145,0.024578573,0.133846154,0.082369146,0.051477008,0.153645833,0.121278141,0.032367692,0.1670282,0.145781638,0.021246562,0.219305673,0.183383992,0.035921681,0.128091547,0.126033058,0.002058489,0.260845839,0.234609737,0.026236102,0.133159886,0.135702431,-0.002542545,0.058980637,0.056640265,0.002340372,0.005973451,0.003121557,0.002851894,0,0,0,0,0,0,41.33524428,45.90701289,-4.571768606
plot_01_02_2,39.189999,40.040001,-0.850002,15.003816,15.922219,-0.918403,13.471904,12.532857,0.939047,7.966676,8.23025,-0.263574,63.467924,67.737022,-4.269098,0.530977,0.516903,0.014074,2.856393,2.631624,0.224769,6.381875,6.763869,-0.381994,2.0336,2.1208,-0.0872,3.518,4.06,-0.542,5.026,5.67,-0.644,7.932,8.61,-0.678,9.31,9.97,-0.66,10.6,10.96,-0.36,12.193999,12.674,-0.480001,13.66,14.21,-0.55,15.366,16.91,-1.544,18.514,20.092001,-1.578001,20.16,21.66,-1.5,22.157999,23.23,-1.072001,26.42,27.68,-1.26,29.800001,30.704,-0.903999,36.144001,36.669998,-0.525997,0.358116,0.373727,-0.015611,59.577454,68.873284,-9.29583,45.442527,50.404925,-4.962398,2065.023277,2540.656447,-475.63317,0.762747,0.73185,0.030897,0.475113,0.821659,-0.346546,2.294415,2.921225,-0.62681,38.436391,41.425163,-2.988772,77.952167,80.381125,-2.428958,67.437533,68.367677,-0.930144,34.790732,38.92922,-4.138488,0.870175439,0.837504669,0.03267077,0.28986711,0.069193324,0.220673786,0.00660066,0.016752137,-0.010151477,0.010612245,0.001706485,0.00890576,0.016853933,0.015456989,0.001396944,0.027322404,0.021374548,0.005947856,0.026595745,0.014901199,0.011694546,0.151515152,0.146058091,0.005457061,0.152459016,0.161641929,-0.009182913,0.165145985,0.17140661,-0.006260625,0.190247506,0.167493201,0.022754305,0.090389785,0.103542234,-0.013152449,0.119787045,0.141044592,-0.021257547,0.070132013,0.085604866,-0.015472853,0.025723473,0.032159599,-0.006436126,0.007974482,0.010357104,-0.002382622,0,0,0,0,0,0,32.1217003,38.01978074,-5.898080443
plot_01_02_3,24.24,25.360001,-1.120001,10.85272,11.193405,-0.340685,9.16,9.088254,0.071746,4.01565,4.609289,-0.593639,16.125448,21.245546,-5.120098,0.370013,0.411786,-0.041773,3.308519,3.058158,0.250361,3.081043,3.58457,-0.503527,2.0843,2.03,0.0543,4.293,3.8405,0.4525,5.706,5.52,0.186,7.746,7.5,0.246,8.38,8.15,0.23,9.009,8.88,0.129,9.83,9.783999,0.046001,10.625,10.72,-0.095,11.58,11.76,-0.18,12.56,12.98,-0.42,13.05,13.737499,-0.687499,13.59,14.72,-1.13,16.187,17.768,-1.581,18.529501,20.129499,-1.599998,21.185599,22.9357,-1.750101,0.408166,0.405764,0.002402,72.867876,73.93843,-1.070554,48.735328,51.442647,-2.707319,2375.13224,2646.345975,-271.213735,0.668818,0.69575,-0.026932,0.028901,0.585801,-0.5569,1.855526,2.420336,-0.56481,42.096909,43.020868,-0.923959,83.726708,79.766875,3.959833,67.072111,62.731908,4.340203,44.720497,40.762004,3.958493,0.880986938,0.885206696,-0.004219758,0.071428571,0.129128236,-0.057699665,0.014608234,0.016676419,-0.002068185,0.006596306,0.004949054,0.001647252,0.015584416,0.014629948,0.000954468,0.01660281,0.019685039,-0.003082229,0.011363636,0.014685508,-0.003321872,0.151125402,0.125726744,0.025398658,0.235245902,0.211912944,0.023332958,0.304843305,0.255754476,0.049088829,0.162291169,0.135274604,0.027016565,0.051177536,0.060378665,-0.009201129,0.04041721,0.058171143,-0.017753933,0.000434405,0.002169903,-0.001735498,0,0,0,0,0,0,0,0,0,0,0,0,22.29107003,25.1799375,-2.888867469
plot_01_02_4,32.029999,34.84,-2.810001,14.365166,15.433882,-1.068716,13.838253,14.244286,-0.406033,5.984106,6.388627,-0.404521,35.80952,40.814558,-5.005038,0.416571,0.413935,0.002636,3.453876,3.425083,0.028793,4.404618,4.844442,-0.439824,3.0494,3.8253,-0.7759,5.23,6.7705,-1.5405,7.088,8.05,-0.962,9.968,10.57,-0.602,11.005,11.5525,-0.5475,11.772,12.193,-0.421,12.86,13.264,-0.404,13.72,14.295,-0.575,14.573999,15.366,-0.792001,15.796,16.74,-0.944,16.634998,17.82,-1.185002,17.754,20.257999,-2.503999,23.646,25.357,-1.711,26.790001,29.199501,-2.4095,30.193,32.813299,-2.620299,0.414296,0.416708,-0.002412,59.366144,76.959042,-17.592898,41.218792,53.136459,-11.917667,1698.988815,2823.483249,-1124.494434,0.694315,0.690451,0.003864,0.210177,0.610148,-0.399971,2.069546,2.500459,-0.430913,35.347274,44.230064,-8.88279,54.294479,55.171178,-0.876699,49.1374,49.89076,-0.75336,24.693252,24.090339,0.602913,0.896253602,0.88981515,0.006438452,0.332692308,0.273947368,0.05874494,0.051094891,0.023136247,0.027958644,0.004239855,0.002308284,0.001931571,0.001209921,0.002047607,-0.000837686,0.003015682,0.001788452,0.00122723,0.004204204,0.001785259,0.002418945,0.05451448,0.023412204,0.031102276,0.089922481,0.093474825,-0.003552344,0.104995375,0.114022805,-0.00902743,0.186912373,0.184635459,0.002276914,0.097113752,0.102342606,-0.005228854,0.047849984,0.066302119,-0.018452135,0.041227526,0.042163153,-0.000935627,0.006161429,0.018506619,-0.01234519,0,0,0,0,0,0,0,0,0,23.47977002,22.57604315,0.903726872
plot_01_03_1,38.689999,39.18,-0.490001,19.803344,17.770233,2.033111,1.51,1.51,0,9.494778,9.541535,-0.046757,90.150816,91.040893,-0.890077,0.479453,0.536939,-0.057486,2.24597,2.029474,0.216496,7.869378,8.106319,-0.236941,1.55,1.6023,-0.0523,1.8,2.5115,-0.7115,3.784,4.996,-1.212,10.75,8.086,2.664,13.105,9.85,3.255,15.472,11.797,3.675,19.299999,14.41,4.889999,21.639999,17.564999,4.075,23.879999,20.77,3.109999,25.896,23.630999,2.265001,27.120001,24.9825,2.137501,28.26,27.063999,1.196001,30.93,30.896999,0.033001,33.292999,33.66,-0.367001,36.056399,36.927,-0.870601,0.492021,0.431649,0.060372,60.059268,37.148411,22.910857,41.230421,40.575331,0.65509,1699.947597,1646.357474,53.590123,0.686496,1.092249,-0.405753,0.214931,1.847828,-1.632897,2.113683,6.006803,-3.89312,35.153385,29.9228,5.230585,66.494017,42.888971,23.605046,63.732129,43.233959,20.49817,41.93606,23.598218,18.337842,0.863675582,0.833154698,0.030520884,0.281908302,0.261867089,0.020041213,0.170179949,0.138573376,0.031606573,0.190595089,0.047186147,0.143408942,0.107355126,0.028391167,0.078963959,0.030259366,0.009787589,0.020471777,0.003946896,0.006414235,-0.002467339,0.060667341,0.051609105,0.009058236,0.05177373,0.058562719,-0.006788989,0.05866426,0.050517453,0.008146807,0.086813187,0.066175266,0.020637921,0.079413252,0.05039664,0.029016612,0.206024096,0.100713386,0.10531071,0.18374037,0.077548387,0.106191983,0.075325856,0.041908765,0.033417091,0.007072987,0.007606429,-0.000533442,0,0,0,0,0,0,38.81966269,27.12466481,11.69499788
plot_01_03_3,39.98,41.639999,-1.659999,20.932831,22.21559,-1.282759,20.444762,23.208889,-2.764127,7.559201,8.141627,-0.582426,57.141514,66.286094,-9.14458,0.361117,0.366483,-0.005366,2.879856,2.495048,0.384808,5.917577,6.638585,-0.721008,1.9865,3.7844,-1.7979,7.89,8.026,-0.136,10.79,10.78,0.01,14.91,14.73,0.18,16.122501,16.549999,-0.427498,17.450001,18.205999,-0.755998,19.49,20.48,-0.99,21,22.84,-1.84,22.6,24.790001,-2.190001,24.73,27.073999,-2.343999,26.0175,27.93,-1.9125,27.360001,29.516001,-2.156,30.875,32.400002,-1.525002,33.107498,34.743999,-1.636501,38.000501,38.9628,-0.962299,0.504754,0.514875,-0.010121,56.068298,62.456017,-6.387719,42.850838,52.231162,-9.380324,1836.194347,2728.094326,-891.899979,0.764261,0.836287,-0.072026,0.402978,0.87461,-0.471632,2.143602,2.796415,-0.652813,36.652494,43.544304,-6.89181,80.567515,67.889771,12.677744,71.60424,62.763356,8.840884,46.046967,41.38086,4.666107,0.903481013,0.829133586,0.074347427,0.345416882,0.217238584,0.128178298,0.024747475,0.057070064,-0.032322589,0.013944223,0.008588027,0.005356196,0.026188167,0.002268145,0.023920022,0.010556622,0.003265511,0.007291111,0.004775549,0.005495878,-0.000720329,0.034578147,0.036814244,-0.002236097,0.078980892,0.063753098,0.015227794,0.10660091,0.061522199,0.045078711,0.135737705,0.117372644,0.018365061,0.160242291,0.094304546,0.065937745,0.324781558,0.234045307,0.090736251,0.167466336,0.180023352,-0.012557016,0.071295098,0.094395847,-0.023100749,0.016678445,0.021538751,-0.004860306,0,0,0,0,0,0,44.91116017,47.18450922,-2.273349053
plot_02_01_1,35.799999,36.540001,-0.740002,21.354873,21.309189,0.045684,1.54,27.087461,-25.547461,9.545482,9.601216,-0.055734,91.116223,92.183349,-1.067126,0.446993,0.450567,-0.003574,2.44717,2.469066,-0.021896,7.750758,7.737423,0.013335,1.6875,1.7439,-0.0564,2.405,2.6,-0.195,3.76,3.779,-0.019,13.51,13.238,0.272,16.09,16.3925,-0.3025,18.325001,18.48,-0.154999,20.52,20.766001,-0.246001,23.059999,23.040001,0.019998,25.450001,25.393999,0.056002,27.809999,27.57,0.239999,29.032501,28.83,0.202501,30.24,30.002001,0.237999,32.080002,32.27,-0.189998,33.855,34.040001,-0.185001,35.207001,35.439999,-0.232998,0.578368,0.565207,0.013161,60.095541,67.225919,-7.130378,45.89,50.265197,-4.375197,2105.89206,2526.590062,-420.698002,0.763617,0.747706,0.015911,0.21554,0.71742,-0.50188,1.805711,2.688511,-0.8828,40.408789,41.681957,-1.273168,51.77665,52.608133,-0.831483,52.289759,54.427214,-2.137455,31.06599,34.185946,-3.119956,0.889250814,0.888093344,0.00115747,0.171017102,0.12526096,0.045756142,0.009803922,0.035354665,-0.025550743,0.019230769,0.018449374,0.000781395,0.0321489,0.026512722,0.005636178,0.028759244,0.024405507,0.004353737,0.02248996,0.027783411,-0.005293451,0.045977011,0.080723341,-0.03474633,0.026845638,0.00868601,0.018159628,0.021881838,0.019213341,0.002668497,0.041258741,0.04002088,0.001237861,0.054857898,0.056941254,-0.002083356,0.175925926,0.190918747,-0.014992821,0.140851661,0.15408805,-0.013236389,0.110324729,0.108440973,0.001883756,0,0.0008004,-0.0008004,0,0,0,0,0,0,33.56086017,39.57512892,-6.014268749
plot_02_01_2,32.82,34.299999,-1.479999,10.670211,11.525215,-0.855004,5.485873,4.650952,0.834921,7.376449,8.11199,-0.735541,54.412005,65.804377,-11.392372,0.691312,0.703847,-0.012535,3.667632,3.130155,0.537477,5.736968,6.542095,-0.805127,2.0162,1.977,0.0392,2.903,2.92,-0.017,3.722,3.73,-0.008,5.084,4.96,0.124,5.54,5.44,0.1,5.98,6.03,-0.05,7.14,7.26,-0.12,8.19,8.72,-0.53,9.47,10.17,-0.7,11.32,13.09,-1.77,13.195,15.73,-2.535,16.136,18.799999,-2.663999,23.237999,25.17,-1.932001,27.66,29.605,-1.945,31.066601,32.362001,-1.2954,0.292565,0.305011,-0.012446,66.816621,70.254934,-3.438313,45.395236,53.572505,-8.177269,2060.727483,2870.013305,-809.285822,0.6794,0.762544,-0.083144,0.179656,0.901515,-0.721859,1.950021,3.078717,-1.128696,38.958116,43.496793,-4.538677,59.693347,54.434251,5.259096,53.697884,48.176434,5.52145,18.633056,18.785496,-0.15244,0.903969957,0.820848057,0.0831219,0.139824642,0.121936084,0.017888558,0.010953902,0.022444647,-0.011490745,0.008148483,0.008421053,-0.00027257,0.01163311,0.009827278,0.001805832,0.018876207,0.015537965,0.003338242,0.031050617,0.021795239,0.009255378,0.21239531,0.178563015,0.033832295,0.183980317,0.139991896,0.043988421,0.100123001,0.081332589,0.018790412,0.035815939,0.041562611,-0.005746672,0.022716736,0.027073933,-0.004357197,0.048102383,0.045236123,0.00286626,0.037996179,0.038859691,-0.000863512,0.012989734,0.021352868,-0.008363134,0,0,0,0,0,0,0,0,0,18.99638789,17.91541729,1.080970599
plot_02_01_3,53.810001,54.630001,-0.82,21.841114,22.596159,-0.755045,8.16873,8.264127,-0.095397,11.782584,12.109553,-0.326969,138.829279,146.641264,-7.811985,0.539468,0.535912,0.003556,2.123607,2.108529,0.015078,10.037838,10.30152,-0.263682,2.5816,2.6778,-0.0962,5.206,5.05,0.156,7.702,7.548,0.154,10.22,10.866,-0.646,11.71,12.48,-0.77,13.09,14.144,-1.054,16.368,17.16,-0.792,20.77,21.58,-0.81,24.222,25.227999,-1.005999,29.184,30.1,-0.916,30.85,31.780001,-0.930001,33.181999,34.674,-1.492001,38.638,39.75,-1.112,42.523998,43.32,-0.796002,47.813199,49.18,-1.366801,0.388506,0.39684,-0.008334,57.838082,67.838167,-10.000085,45.391707,50.685307,-5.2936,2060.407034,2569.000305,-508.593271,0.784807,0.74715,0.037657,0.337043,0.781509,-0.444466,1.956863,2.848248,-0.891385,39.508326,41.65456,-2.146234,74.508497,79.085892,-4.577395,68.604651,73.019608,-4.414957,33.555482,38.050092,-4.49461,0.869399428,0.828748547,0.040650881,0.147847279,0.136500502,0.011346777,0.018341308,0.025114155,-0.006772847,0.011820331,0.009369952,0.002450379,0.003924647,0.01212895,-0.008204303,0.015455951,0.010735712,0.004720239,0.009188361,0.011548065,-0.002359704,0.091794159,0.131707317,-0.039913158,0.155607751,0.153086986,0.002520765,0.140766902,0.141308632,-0.00054173,0.12300885,0.132649573,-0.009640723,0.092004821,0.120036101,-0.02803128,0.143496215,0.150957854,-0.007461639,0.108315434,0.124161074,-0.01584564,0.093715239,0.104298167,-0.010582928,0.076053443,0.08573784,-0.009684397,0.030635118,0.039757235,-0.009122117,0.006679861,0.009237473,-0.002557612,45.50875235,53.9320767,-8.423324348
