plot,sp,fire hist,tag #,dead,storrie.dead,chips.live,storrie.live,other.live,notes
1.1.1,QUKE FOCAL,SSSC,2333,,,,,,
1.1.2,QUKE FOCAL,SSSC,2352,,,,,0.5,single root sp
1.1.3,QUKE FOCAL,SSSC,2325,,,,,,
1.1.4,QUKE FOCAL,SSSC,2383,,,,,0.2,unrelated to dist sps
1.1.4,QUKE FOCAL,SSSC,2383,,,,,0.2,
1.2.1,QUKE FOCAL,SSSC,,,,,,,
1.2.5,QUKE FOCAL,SSSC,2396,,,,,0.3,
1.2.3,QUKE FOCAL,SSSC,2396,,,,,0.2,
1.2.2,QUKE FOCAL,SSSC,2492,,,,,0.4,
1.2.2,QUKE FOCAL,SSSC,2492,,,,,0.3,
1.2.2,QUKE FOCAL,SSSC,2492,,,,,0.7, 
1.2.2,QUKE FOCAL,SSSC,2492,,,,,0.4,
1.2.2,QUKE FOCAL,SSSC,2492,,,,,0.5,
1.2.2,QUKE FOCAL,SSSC,2492,,,,,0.4,
1.2.2,QUKE FOCAL,SSSC,2492,,,,,0.3,
1.2.2,QUKE FOCAL,SSSC,2492,,,,,0.3,
1.2.2,QUKE FOCAL,SSSC,2492,,,,,0.6,
1.2.2,QUKE FOCAL,SSSC,2492,,,,,0.3,
1.2.2,QUKE FOCAL,SSSC,2492,,,,,0.2,
1.2.2,QUKE FOCAL,SSSC,2492,,,,,0.5,
1.2.2,QUKE FOCAL,SSSC,2492,,,,,0.5,
1.2.2,QUKE FOCAL,SSSC,2492,,,,,0.3,
1.2.2,QUKE FOCAL,SSSC,2492,,,,,0.3,
1.2.2,QUKE FOCAL,SSSC,2492,,,,,0.3,
1.2.3,QUKE FOCAL,SSSC,2496,,,,,0.2,
1.2.3,QUKE FOCAL,SSSC,2496,,,,,0.5,
1.2.3,QUKE FOCAL,SSSC,2496,,,,,0.5, 
1.2.3,QUKE FOCAL,SSSC,2496,,,,,0.5,
1.2.3,QUKE FOCAL,SSSC,2496,,,,,0.5,
1.2.3,QUKE FOCAL,SSSC,2496,,,,,0.4,
1.2.4,QUKE FOCAL,SSSC,,,,,,,
1.2.5,QUKE FOCAL,SSSC,2376,,,1.2,,,
1.2.5,QUKE FOCAL,SSSC,2376,,,0.9,,,
1.2.5,QUKE FOCAL,SSSC,2376,,,0.8,,, 
1.2.5,QUKE FOCAL,SSSC,2376,,,0.5,,,
1.2.5,QUKE FOCAL,SSSC,2376,,,0.4,,,
1.2.5,QUKE FOCAL,SSSC,2376,,,0.5,,,
1.2.5,QUKE FOCAL,SSSC,2376,,,1.1,,,
1.2.5,QUKE FOCAL,SSSC,2376,,,0.6,,,
1.2.5,QUKE FOCAL,SSSC,2376,,,0.5,,,
1.2.5,QUKE FOCAL,SSSC,2376,,,0.5,,,
1.2.5,QUKE FOCAL,SSSC,2376,,,0.7,,,
