"Storrie","Chips","ABCO","CADE","PILA","PIPO","PSME","QUKE","comb"
198,207,0,0,NA,0,0,0,405
0,0,0,0,NA,0,0,0,0
0,0,0,NA,NA,NA,NA,0,0
0,0,0,0,NA,0,NA,0,0
59,56,-7.07577410583301,1.31084017070201,-104.339857371911,1.172274233371,2.089247766,6.84326930767102,115
130,36,0.206043490384985,-103.636462193148,NA,NA,5.01461666339799,-1.58419796063399,166
190,50,9.378881952695,NA,NA,-3.309635988709,8.473161287366,-14.542407251352,240
685,437,0,NA,NA,0,NA,0,1122
168,332,-10.980975879323,-104.563519094817,-105.561585447107,3.40415383885701,6.55485031588901,11.147076266501,500
109,92,-6.980477706141,2.43336042513801,NA,-5.03625964105299,-5.26055140790299,14.843928329959,201
110,250,9.35511302395099,-19.135229819682,NA,-39.129577555515,NA,48.909694351245,360
68,577,-133.687597672475,NA,NA,-6.473959334613,25.082349802006,15.079207205082,645
207,137,-22.484115437461,NA,4.897817398513,7.264009083061,14.076572492053,-3.75428353616502,344
-103,600,-127.634917753981,-142.484683443175,-106.040521308662,-9.47357628476902,20.574426179558,65.059272611028,497
-2,509,-131.193626187318,NA,-107.962565822631,25.626433616644,-9.08208926800498,22.611847661309,507
21,581,-147.780451316628,7.580217154482,NA,-105.738607635194,NA,45.938841797339,602
-84,954,-242.166461776162,-108.584318007408,-123.766941355807,NA,NA,174.517721139377,870
49,789,-165.02129157161,NA,NA,-161.285062234465,-153.995129935778,180.301483741853,838
23,1055,-251.725271859366,NA,-108.250206078289,-107.704947792198,NA,167.680425729853,1078
2,869,-200.931496577102,-101.245183583499,-103.650052320306,-106.192602057713,-165.298815971092,177.318150509712,871
40,1014,-159.213471124258,-124.660784400763,-117.905020618645,-161.37716045148,NA,163.156436595146,1054
-106,875,-140.682223624598,-146.887151545644,-107.470517974487,-106.281914503897,-169.89538506509,171.217192713717,769
399,77,-2.181311669601,2.112129654138,-12.867553639601,NA,-12.511131943941,25.447867599005,476
130,433,NA,-9.932112172567,NA,1.574249211856,-2.056625695234,10.414488655944,563
333,65,-2.99210161113501,1.196431433391,2.21975239599701,NA,NA,-0.424082218253005,398
164,200,-9.46886438520099,-104.971038515678,NA,NA,2.02190689036,12.417996010519,364
152,39,-2.025864187037,-7.33181710211102,5.577270640687,NA,0.245563678798987,3.53484696966399,191
285,121,-22.522621164625,NA,NA,NA,13.797493580958,8.72512758366901,406
50,101,1.06468273270599,NA,NA,NA,-14.227749015718,13.163066283012,151
