"Storrie","Chips","comb","Species","Importance_Value"
198,207,405,"ABCO",0
0,0,0,"ABCO",0
0,0,0,"ABCO",0
0,0,0,"ABCO",0
59,56,115,"ABCO",-7.07577410583301
130,36,166,"ABCO",0.206043490384985
190,50,240,"ABCO",9.378881952695
685,437,1122,"ABCO",0
168,332,500,"ABCO",-10.980975879323
109,92,201,"ABCO",-6.980477706141
110,250,360,"ABCO",9.35511302395099
68,577,645,"ABCO",-133.687597672475
207,137,344,"ABCO",-22.484115437461
-103,600,497,"ABCO",-127.634917753981
-2,509,507,"ABCO",-131.193626187318
21,581,602,"ABCO",-147.780451316628
-84,954,870,"ABCO",-242.166461776162
49,789,838,"ABCO",-165.02129157161
23,1055,1078,"ABCO",-251.725271859366
2,869,871,"ABCO",-200.931496577102
40,1014,1054,"ABCO",-159.213471124258
-106,875,769,"ABCO",-140.682223624598
399,77,476,"ABCO",-2.181311669601
130,433,563,"ABCO",NA
333,65,398,"ABCO",-2.99210161113501
164,200,364,"ABCO",-9.46886438520099
152,39,191,"ABCO",-2.025864187037
285,121,406,"ABCO",-22.522621164625
50,101,151,"ABCO",1.06468273270599
37,121,158,"ABCO",-2.687635725473
227,36,263,"ABCO",-1.404332604215
130,272,402,"ABCO",0
335,175,510,"ABCO",14.480571460826
148,108,256,"ABCO",-3.51558329755099
286,339,625,"ABCO",23.810962673998
392,167,559,"ABCO",-6.088295885663
261,119,380,"ABCO",-0.0787678991389953
413,187,600,"ABCO",-1.57134195937502
555,301,856,"ABCO",-19.822813747539
513,614,1127,"ABCO",-38.159137348268
572,672,1244,"ABCO",-222.610359459651
481,719,1200,"ABCO",-204.67400313588
354,725,1079,"ABCO",-198.279995458417
597,614,1211,"ABCO",-172.086856460069
229,680,909,"ABCO",-220.388995971538
338,751,1089,"ABCO",-206.334531815373
250,53,303,"ABCO",NA
709,88,797,"ABCO",7.21064958283401
493,-96,397,"ABCO",-160.904164181789
728,0,728,"ABCO",-129.106033397321
383,97,480,"ABCO",-92.614624283728
565,50,615,"ABCO",-44.38265370479
434,182,616,"ABCO",5.638596667521
144,389,533,"ABCO",-49.047446116105
144,389,533,"ABCO",NA
404,179,583,"ABCO",56.888485356128
538,867,1405,"ABCO",-69.380239319899
547,561,1108,"ABCO",13.037029852954
576,452,1028,"ABCO",49.52860940861
576,452,1028,"ABCO",-188.321369703203
628,400,1028,"ABCO",14.090010042488
783,654,1437,"ABCO",-124.521561576473
828,556,1384,"ABCO",-41.322751354604
591,764,1355,"ABCO",-142.253832298587
691,673,1364,"ABCO",NA
312,630,942,"ABCO",-228.322932674124
861,819,1680,"ABCO",-125.840071837294
685,694,1379,"ABCO",-179.203192468416
1000,670,1670,"ABCO",-146.943745768533
1220,-140,1080,"ABCO",NA
731,20,751,"ABCO",-126.735333487785
698,-43,655,"ABCO",-137.651129471947
1016,-453,563,"ABCO",-12.943458192282
737,0,737,"ABCO",-182.833125577671
883,0,883,"ABCO",-174.899769048459
802,501,1303,"ABCO",9.119066654644
881,-162,719,"ABCO",-207.071414819678
716,475,1191,"ABCO",-132.858302139233
823,590,1413,"ABCO",-176.551409417564
1064,676,1740,"ABCO",-105.144364474045
