"rdnbr.plot","ABCO","CADE","PILA","PIPO","PSME","QUKE","ABCO.1","CADE.1","PILA.1","PIPO.1","PSME.1","QUKE.1","ABCO.2","CADE.2","PILA.2","PIPO.2","PSME.2","QUKE.2"
"1.1.1",187.338032098077,102.415235847543,0,107.469442394049,192.570855479657,110.206434180675,187.338032098077,102.415235847543,0,107.469442394049,192.570855479657,110.206434180675,187.338032098077,102.415235847543,0,107.469442394049,192.570855479657,110.206434180675
"1.1.2",110.706287485797,101.50246783719,0,133.024787203622,196.174841685142,158.591615788249,110.706287485797,101.50246783719,0,133.024787203622,196.174841685142,158.591615788249,110.706287485797,101.50246783719,0,133.024787203622,196.174841685142,158.591615788249
"1.1.3",209.854903293608,0,0,0,0,190.145096706392,209.854903293608,0,0,0,0,190.145096706392,209.854903293608,0,0,0,0,190.145096706392
"1.1.4",162.871033559183,122.184999688334,0,119.443511079696,0,195.500455672786,162.871033559183,122.184999688334,0,119.443511079696,0,195.500455672786,162.871033559183,122.184999688334,0,119.443511079696,0,195.500455672786
"1.2.1",152.117975225624,127.162930490432,104.339857371911,106.060089406077,179.481765607273,130.837381898683,152.117975225624,127.162930490432,104.339857371911,106.060089406077,179.481765607273,130.837381898683,145.042201119791,128.473770661134,0,107.232363639448,181.571013373273,137.680651206354
"1.2.2",182.28609712278,103.636462193148,0,0,152.839938038727,161.237502645345,182.28609712278,103.636462193148,0,0,152.839938038727,161.237502645345,182.492140613165,0,0,0,157.854554702125,159.653304684711
"1.2.3",158.373163089575,0,0,113.205165814015,121.604961687099,206.81670940931,158.373163089575,0,0,113.205165814015,121.604961687099,206.81670940931,167.75204504227,0,0,109.895529825306,130.078122974465,192.274302157958
"1.2.4",112.135977761412,0,0,171.038365534359,0,216.825656704229,112.135977761412,0,0,171.038365534359,0,216.825656704229,112.135977761412,0,0,171.038365534359,0,216.825656704229
"1.2.5",204.001919133846,104.563519094817,105.561585447107,130.489123975363,140.117092567873,115.266759780994,204.001919133846,104.563519094817,105.561585447107,130.489123975363,140.117092567873,115.266759780994,193.020943254523,0,0,133.89327781422,146.671942883762,126.413836047495
"1.2.6",123.527871893822,168.151307713009,0,108.007155097925,149.892795052851,150.420870242393,123.527871893822,168.151307713009,0,108.007155097925,149.892795052851,150.420870242393,116.547394187681,170.584668138147,0,102.970895456872,144.632243644948,165.264798572352
"1.3.1",186.761762493801,138.294240280276,0,150.447228213897,0,124.496769012027,186.761762493801,138.294240280276,0,150.447228213897,0,124.496769012027,196.116875517752,119.159010460594,0,111.317650658382,0,173.406463363272
"1.3.2",133.687597672475,0,0,137.061936577936,170.469621962718,158.780843786871,133.687597672475,0,0,137.061936577936,170.469621962718,158.780843786871,0,0,0,130.587977243323,195.551971764724,173.860050991953
"1.3.3",167.225790223515,0,111.147090792285,115.54192868419,130.2453663165,175.839823983509,167.225790223515,0,111.147090792285,115.54192868419,130.2453663165,175.839823983509,144.741674786054,0,116.044908190798,122.805937767251,144.321938808553,172.085540447344
"1.3.4",127.634917753981,142.484683443175,106.040521308662,137.583704073221,117.804264089731,168.451909331231,127.634917753981,142.484683443175,106.040521308662,137.583704073221,117.804264089731,168.451909331231,0,0,0,128.110127788452,138.378690269289,233.511181942259
"1.3.5",131.193626187318,0,107.962565822631,133.786760744513,161.855399724641,165.201647520898,131.193626187318,0,107.962565822631,133.786760744513,161.855399724641,165.201647520898,0,0,0,159.413194361157,152.773310456636,187.813495182207
"1.3.6",147.780451316628,144.984968271129,0,105.738607635194,0,201.49597277705,147.780451316628,144.984968271129,0,105.738607635194,0,201.49597277705,0,152.565185425611,0,0,0,247.434814574389
"1.4.1",242.166461776162,108.584318007408,123.766941355807,0,0,125.482278860623,242.166461776162,108.584318007408,123.766941355807,0,0,125.482278860623,0,0,0,0,0,300
"1.4.2",165.02129157161,0,0,161.285062234465,153.995129935778,119.698516258147,165.02129157161,0,0,161.285062234465,153.995129935778,119.698516258147,0,0,0,0,0,300
"1.4.3",251.725271859366,0,108.250206078289,107.704947792198,0,132.319574270147,251.725271859366,0,108.250206078289,107.704947792198,0,132.319574270147,0,0,0,0,0,300
"1.4.4",200.931496577102,101.245183583499,103.650052320306,106.192602057713,165.298815971092,122.681849490288,200.931496577102,101.245183583499,103.650052320306,106.192602057713,165.298815971092,122.681849490288,0,0,0,0,0,300
"1.4.5",159.213471124258,124.660784400763,117.905020618645,161.37716045148,0,136.843563404854,159.213471124258,124.660784400763,117.905020618645,161.37716045148,0,136.843563404854,0,0,0,0,0,300
"1.4.6",140.682223624598,146.887151545644,107.470517974487,106.281914503897,169.89538506509,128.782807286283,140.682223624598,146.887151545644,107.470517974487,106.281914503897,169.89538506509,128.782807286283,0,0,0,0,0,300
"2.1.1",121.283238059287,110.646552245411,151.886018460731,0,149.527305393436,166.656885841134,119.101926389686,112.758681899549,139.01846482113,0,137.016173449495,192.104753440139,119.101926389686,112.758681899549,139.01846482113,0,137.016173449495,192.104753440139
"2.1.2",0,202.113502187146,0,107.066776788719,125.818191551191,165.001529472944,0,202.083583704625,0,107.066133134718,125.812152765086,165.038130395572,0,192.181390014579,0,108.641026000575,123.761565855957,175.416018128888
"2.1.3",186.643846687818,119.350447232372,149.653294446425,0,0,144.352411633385,182.781591490791,120.455588325708,150.809469434825,0,0,145.953350748676,183.651745076683,120.546878665763,151.873046842422,0,0,143.928329415132
"2.1.4",184.167692516676,104.971038515678,0,0,109.243839574973,201.617429392673,184.167692516676,104.971038515678,0,0,109.243839574973,201.617429392673,174.698828131475,0,0,0,111.265746465333,214.035425403192
"2.1.5",151.616454773677,128.924493064923,142.218482409221,0,148.75897592951,128.481593822668,149.59059058664,121.592675962812,147.795753049908,0,149.004539608309,132.016440792332,149.59059058664,121.592675962812,147.795753049908,0,149.004539608309,132.016440792332
"2.1.6",200.61948647062,0,0,0,165.115083039042,134.265430490337,178.096865305995,0,0,0,178.91257662,142.990558074006,178.096865305995,0,0,0,178.91257662,142.990558074006
"2.2.1",122.955420272858,0,0,0,185.738033706133,191.306546021009,122.955420272858,0,0,0,185.738033706133,191.306546021009,124.020103005564,0,0,0,171.510284690415,204.469612304021
"2.2.2",162.822566781205,0,101.445675081495,0,0,235.7317581373,164.116579566153,0,101.512852790197,0,0,234.37056764365,160.134931055732,0,101.814255331103,0,0,238.050813613165
"2.2.3",178.964362723889,140.67832662209,138.436346712464,0,0,141.920963941557,178.964362723889,140.67832662209,138.436346712464,0,0,141.920963941557,177.560030119674,140.009795602855,138.308903360968,0,106.326459032559,137.794811883944
"2.2.4",143.261639521663,0,0,0,127.015685184895,229.722675293442,143.261639521663,0,0,0,127.015685184895,229.722675293442,143.261639521663,0,0,0,127.015685184895,229.722675293442
"2.2.5",190.432560407202,147.416591271446,0,0,150.356776423831,111.794071897521,190.432560407202,147.416591271446,0,0,150.356776423831,111.794071897521,204.913131868028,111.188582011133,0,0,157.900405983566,125.997880137273
"2.2.6",170.206033436286,0,122.414109548795,180.902165314972,0,126.477691699946,170.458667214187,0,122.524190679999,181.273177633925,0,125.743964471889,166.690450138735,0,128.459908747679,158.114433900887,0,146.735207212698
