"plot","Species","Importance Value","time"
"1.1.1","ABCO",187.338032098077,"Pre-fire"
"1.1.2","ABCO",110.706287485797,"Pre-fire"
"1.1.3","ABCO",209.854903293608,"Pre-fire"
"1.1.4","ABCO",162.871033559183,"Pre-fire"
"1.2.1","ABCO",152.117975225624,"Pre-fire"
"1.2.2","ABCO",182.28609712278,"Pre-fire"
"1.2.3","ABCO",158.373163089575,"Pre-fire"
"1.2.4","ABCO",112.135977761412,"Pre-fire"
"1.2.5","ABCO",204.001919133846,"Pre-fire"
"1.2.6","ABCO",123.527871893822,"Pre-fire"
"1.3.1","ABCO",186.761762493801,"Pre-fire"
"1.3.2","ABCO",133.687597672475,"Pre-fire"
"1.3.3","ABCO",167.225790223515,"Pre-fire"
"1.3.4","ABCO",127.634917753981,"Pre-fire"
"1.3.5","ABCO",131.193626187318,"Pre-fire"
"1.3.6","ABCO",147.780451316628,"Pre-fire"
"1.4.1","ABCO",242.166461776162,"Pre-fire"
"1.4.2","ABCO",165.02129157161,"Pre-fire"
"1.4.3","ABCO",251.725271859366,"Pre-fire"
"1.4.4","ABCO",200.931496577102,"Pre-fire"
"1.4.5","ABCO",159.213471124258,"Pre-fire"
"1.4.6","ABCO",140.682223624598,"Pre-fire"
"2.1.1","ABCO",121.283238059287,"Pre-fire"
"2.1.2","ABCO",0,"Pre-fire"
"2.1.3","ABCO",186.643846687818,"Pre-fire"
"2.1.4","ABCO",184.167692516676,"Pre-fire"
"2.1.5","ABCO",151.616454773677,"Pre-fire"
"2.1.6","ABCO",200.61948647062,"Pre-fire"
"2.2.1","ABCO",122.955420272858,"Pre-fire"
"2.2.2","ABCO",162.822566781205,"Pre-fire"
"2.2.3","ABCO",178.964362723889,"Pre-fire"
"2.2.4","ABCO",143.261639521663,"Pre-fire"
"2.2.5","ABCO",190.432560407202,"Pre-fire"
"2.2.6","ABCO",170.206033436286,"Pre-fire"
"2.3.1","ABCO",182.976105723671,"Pre-fire"
"2.3.2","ABCO",272.318707650856,"Pre-fire"
"2.3.3","ABCO",149.694864327708,"Pre-fire"
"2.3.4","ABCO",134.420481796755,"Pre-fire"
"2.3.5","ABCO",220.659605768996,"Pre-fire"
"2.3.6","ABCO",229.02483878642,"Pre-fire"
"2.4.1","ABCO",222.610359459651,"Pre-fire"
"2.4.2","ABCO",204.67400313588,"Pre-fire"
"2.4.3","ABCO",198.279995458417,"Pre-fire"
"2.4.4","ABCO",172.086856460069,"Pre-fire"
"2.4.5","ABCO",220.388995971538,"Pre-fire"
"2.4.6","ABCO",206.334531815373,"Pre-fire"
"3.1.1","ABCO",0,"Pre-fire"
"3.1.2","ABCO",134.011076175842,"Pre-fire"
"3.1.3","ABCO",160.904164181789,"Pre-fire"
"3.1.4","ABCO",129.106033397321,"Pre-fire"
"3.1.5","ABCO",239.671924948692,"Pre-fire"
"3.1.6","ABCO",245.769558114819,"Pre-fire"
"3.2.1","ABCO",182.207130283228,"Pre-fire"
"3.2.2","ABCO",172.407821362767,"Pre-fire"
"3.2.3","ABCO",0,"Pre-fire"
"3.2.4","ABCO",180.141232105838,"Pre-fire"
"3.2.5","ABCO",203.708312825578,"Pre-fire"
"3.2.6","ABCO",121.929819562805,"Pre-fire"
"3.3.2","ABCO",153.614261642808,"Pre-fire"
"3.3.3","ABCO",188.321369703203,"Pre-fire"
"3.3.4","ABCO",129.273605555136,"Pre-fire"
"3.3.5","ABCO",124.521561576473,"Pre-fire"
"3.3.6","ABCO",158.17493287619,"Pre-fire"
"3.4.1","ABCO",142.253832298587,"Pre-fire"
"3.4.2","ABCO",0,"Pre-fire"
"3.4.3","ABCO",228.322932674124,"Pre-fire"
"3.4.4","ABCO",125.840071837294,"Pre-fire"
"3.4.5","ABCO",179.203192468416,"Pre-fire"
"3.4.6","ABCO",146.943745768533,"Pre-fire"
"4.1.1","ABCO",0,"Pre-fire"
"4.1.2","ABCO",126.735333487785,"Pre-fire"
"4.1.3","ABCO",137.651129471947,"Pre-fire"
"4.1.4","ABCO",119.964734788027,"Pre-fire"
"4.1.5","ABCO",182.833125577671,"Pre-fire"
"4.1.6","ABCO",174.899769048459,"Pre-fire"
"4.2.1","ABCO",113.362866937721,"Pre-fire"
"4.2.2","ABCO",207.071414819678,"Pre-fire"
"4.2.3","ABCO",132.858302139233,"Pre-fire"
"4.2.4","ABCO",176.551409417564,"Pre-fire"
"4.2.5","ABCO",105.144364474045,"Pre-fire"
"4.2.6","ABCO",142.897132190192,"Pre-fire"
"4.3.1","ABCO",0,"Pre-fire"
"4.3.2","ABCO",162.009870785827,"Pre-fire"
"4.3.3","ABCO",0,"Pre-fire"
"4.3.4","ABCO",0,"Pre-fire"
"4.3.5","ABCO",0,"Pre-fire"
"4.3.6","ABCO",165.318487299531,"Pre-fire"
"4.4.1","ABCO",0,"Pre-fire"
"4.4.2","ABCO",0,"Pre-fire"
"4.4.3","ABCO",0,"Pre-fire"
"4.4.4","ABCO",149.79214520249,"Pre-fire"
"4.4.5","ABCO",217.834499289838,"Pre-fire"
"4.4.6","ABCO",220.755929887189,"Pre-fire"
"1.1.1","CADE",102.415235847543,"Pre-fire"
"1.1.2","CADE",101.50246783719,"Pre-fire"
"1.1.3","CADE",0,"Pre-fire"
"1.1.4","CADE",122.184999688334,"Pre-fire"
"1.2.1","CADE",127.162930490432,"Pre-fire"
"1.2.2","CADE",103.636462193148,"Pre-fire"
"1.2.3","CADE",0,"Pre-fire"
"1.2.4","CADE",0,"Pre-fire"
"1.2.5","CADE",104.563519094817,"Pre-fire"
"1.2.6","CADE",168.151307713009,"Pre-fire"
