"plot","Spp","Condition","ba","tph","QMD","SDI"
"1.1.1","ABCO","Pre-fire",7.543064978064,822.14,10.808255103317,1.91411245957348
"1.1.2","ABCO","Pre-fire",0.58122513834,155.54,6.89772219131587,0.0717313362586632
"1.1.3","ABCO","Pre-fire",41.382095496588,1310.98,20.047617044241,28.3051258071094
"1.1.4","ABCO","Pre-fire",17.003727897156,688.82,17.7285717999086,9.54788987094988
"1.2.1","ABCO","Pre-fire",13.41041102478,177.76,30.9926402553897,18.4566971955446
"1.2.2","ABCO","Pre-fire",17.525181346596,399.96,23.6198715774098,15.5960580975334
"1.2.3","ABCO","Pre-fire",8.706230769852,444.4,15.7936537887849,4.06103426853149
"1.2.4","ABCO","Pre-fire",0.9637639473,22.22,23.5,0.850700092159928
"1.2.5","ABCO","Pre-fire",44.428392343104,288.86,44.2528399783996,108.30238600536
"1.2.6","ABCO","Pre-fire",2.30203897308,222.2,11.485207877962,0.64398748461836
"1.3.1","ABCO","Pre-fire",29.060227273308,577.72,25.3072732020476,28.8901424781922
"1.3.2","ABCO","Pre-fire",11.871477640176,133.32,33.6712538129089,18.6637032949185
"1.3.3","ABCO","Pre-fire",17.69669555346,288.86,27.9290997954573,20.6089302596393
"1.3.4","ABCO","Pre-fire",1.687690720716,266.64,8.97714691127792,0.317922870516551
"1.3.5","ABCO","Pre-fire",2.886283236144,155.54,15.3710302656839,1.28895902286143
"1.3.6","ABCO","Pre-fire",3.43028413728,155.54,16.7570880525227,1.75958663800731
"1.4.1","ABCO","Pre-fire",30.23382911472,1244.32,17.5887545242489,16.7624445699632
"1.4.2","ABCO","Pre-fire",6.374419387644,266.64,17.4466567953099,3.4884349406623
"1.4.3","ABCO","Pre-fire",90.011818037988,377.74,55.0817627553376,311.787705571163
"1.4.4","ABCO","Pre-fire",36.069744851448,1622.06,16.8264550348877,18.6252934966165
"1.4.5","ABCO","Pre-fire",20.982794670684,288.86,30.411827152758,28.0148595677569
"1.4.6","ABCO","Pre-fire",5.91556478436,311.08,15.5602515587451,2.69416856730586
"2.1.1","ABCO","Pre-fire",9.660815181864,66.66,42.9564896144925,22.4526112340566
"2.1.2","ABCO","Pre-fire",0,0,0,0
"2.1.3","ABCO","Pre-fire",28.484848416948,355.52,31.9396012028954,41.1438215563051
"2.1.4","ABCO","Pre-fire",6.3685207509,533.28,12.3309400831134,1.99677593516036
"2.1.5","ABCO","Pre-fire",21.605606943228,133.32,45.424497795793,54.9236033074367
"2.1.6","ABCO","Pre-fire",12.452179230876,377.74,20.4871121612072,8.81888833877091
"2.2.1","ABCO","Pre-fire",8.889158315268,155.54,26.9751472920644,9.79037810362458
"2.2.2","ABCO","Pre-fire",53.627281442196,933.24,27.048972342067,59.3238942390396
"2.2.3","ABCO","Pre-fire",15.37039887306,133.32,38.3132918623985,29.7305483124813
"2.2.4","ABCO","Pre-fire",14.130184320252,133.32,36.7350649924565,25.5472651790654
"2.2.5","ABCO","Pre-fire",22.897844679864,88.88,57.2729866516493,84.4395614281891
"2.2.6","ABCO","Pre-fire",23.127175997772,399.96,27.1336097447018,25.7124906675177
"2.3.1","ABCO","Pre-fire",21.659235673152,244.42,33.5898252992832,33.9194219561475
"2.3.2","ABCO","Pre-fire",24.667854541176,288.86,32.974372333211,37.501324469339
"2.3.3","ABCO","Pre-fire",14.855699188176,355.52,23.0658297054322,12.726247266336
"2.3.4","ABCO","Pre-fire",6.71563283622,111.1,27.7422061127085,7.73695594904828
"2.3.5","ABCO","Pre-fire",55.357798359864,244.42,53.7001608258977,184.090556407587
"2.3.6","ABCO","Pre-fire",44.999914398516,288.86,44.5365623349556,110.826562497589
"2.4.1","ABCO","Pre-fire",72.402258263412,444.4,45.545301623768,184.839994562237
"2.4.2","ABCO","Pre-fire",36.829953476316,333.3,37.5091722116071,68.8547189929086
"2.4.3","ABCO","Pre-fire",43.764935322108,311.08,42.3235074835993,99.3188602470081
"2.4.4","ABCO","Pre-fire",34.81591806,133.32,57.662812973354,129.794872221253
"2.4.5","ABCO","Pre-fire",89.853793908648,377.74,55.0333909335692,310.801762003355
"2.4.6","ABCO","Pre-fire",26.978514598728,266.64,35.8922693626357,46.99334865562
"3.1.1","ABCO","Pre-fire",0,0,0,0
"3.1.2","ABCO","Pre-fire",2.157382760148,66.66,20.2995073831854,1.50550885538503
"3.1.3","ABCO","Pre-fire",6.906413596236,111.1,28.1335031590451,8.13764403081236
"3.1.4","ABCO","Pre-fire",5.0714314728,44.44,38.1182371050918,9.72950177871887
"3.1.5","ABCO","Pre-fire",87.799759452636,333.3,57.9139994589679,329.61185322875
"3.1.6","ABCO","Pre-fire",78.905906660196,355.52,53.159059670013,258.168320722854
"3.2.1","ABCO","Pre-fire",22.996585764768,244.42,34.6112961066444,37.787652865032
"3.2.2","ABCO","Pre-fire",21.656059484136,266.64,32.1574511842383,31.6233823523387
"3.2.3","ABCO","Pre-fire",0,0,0,0
"3.2.4","ABCO","Pre-fire",61.043351214384,311.08,49.984769108771,180.931734148411
"3.2.5","ABCO","Pre-fire",31.082831419332,266.64,38.525846302623,60.6589263438635
"3.2.6","ABCO","Pre-fire",20.408183684196,111.1,48.3614929463514,57.3678080953713
"3.3.2","ABCO","Pre-fire",15.7430775348,111.1,42.4758755059857,35.9335374968258
"3.3.3","ABCO","Pre-fire",40.400565832704,199.98,50.7171678143714,122.575337258681
"3.3.4","ABCO","Pre-fire",8.996712452112,22.22,71.8,47.6875991051431
"3.3.5","ABCO","Pre-fire",1.3865286666,111.1,12.6055543313255,0.450373330686539
"3.3.6","ABCO","Pre-fire",32.116890363096,244.42,40.9027894136596,68.9983683185246
"3.4.1","ABCO","Pre-fire",0.677505549336,333.3,5.08736998195859,0.0512951761091746
"3.4.2","ABCO","Pre-fire",0,0,0,0
"3.4.3","ABCO","Pre-fire",48.407022826932,444.4,37.2410324776314,89.462309858216
"3.4.4","ABCO","Pre-fire",7.6664826084,111.1,29.641187560555,9.82269087439608
"3.4.5","ABCO","Pre-fire",27.717728963232,266.64,36.3806725244783,49.3397607289311
"3.4.6","ABCO","Pre-fire",11.676752821272,66.66,47.2261932970818,31.5956715900321
"4.1.1","ABCO","Pre-fire",0,0,0,0
"4.1.2","ABCO","Pre-fire",21.11642148,22.22,110,221.971627526378
"4.1.3","ABCO","Pre-fire",10.972825567704,222.2,25.0750473578815,10.7483893041776
"4.1.4","ABCO","Pre-fire",2.238183612588,111.1,16.0156798169794,1.06765989132895
"4.1.5","ABCO","Pre-fire",18.036024230532,133.32,41.5027910708023,39.6640236126713
"4.1.6","ABCO","Pre-fire",13.994568029904,66.66,51.7013217110227,43.7896550230964
"4.2.1","ABCO","Pre-fire",19.24037577,22.22,105,187.699994333933
"4.2.2","ABCO","Pre-fire",12.806795499036,199.98,28.5549567598264,15.4543654577593
"4.2.3","ABCO","Pre-fire",6.509442324,44.44,43.1856457633784,15.2582748684815
"4.2.4","ABCO","Pre-fire",18.0794088783,155.54,38.4703039462166,35.2008157333426
"4.2.5","ABCO","Pre-fire",0.3420511248,22.22,14,0.13148263679695
"4.2.6","ABCO","Pre-fire",5.567649925992,88.88,28.2415474080299,6.60069749778153
"4.3.1","ABCO","Pre-fire",0,0,0,0
"4.3.2","ABCO","Pre-fire",30.493002648108,222.2,41.8006100433953,67.8328682754159
"4.3.3","ABCO","Pre-fire",0,0,0,0
"4.3.4","ABCO","Pre-fire",0,0,0,0
"4.3.5","ABCO","Pre-fire",0,0,0,0
"4.3.6","ABCO","Pre-fire",10.629483025392,111.1,34.9022635369112,17.7024772528233
"4.4.1","ABCO","Pre-fire",0,0,0,0
"4.4.2","ABCO","Pre-fire",0,0,0,0
"4.4.3","ABCO","Pre-fire",0,0,0,0
"4.4.4","ABCO","Pre-fire",0.491279653788,288.86,4.65345198585044,0.0322366511041946
"4.4.5","ABCO","Pre-fire",100.1092894032,466.62,52.2648930700049,318.745028491862
"4.4.6","ABCO","Pre-fire",18.1919716209,133.32,41.6818305740043,40.2843390895718
"1.1.1","CADE","Pre-fire",0.234828568128,22.22,11.6,0.0667494801186118
"1.1.2","CADE","Pre-fire",0.067083904272,22.22,6.2,0.0069766811790144
"1.1.3","CADE","Pre-fire",0,0,0,0
"1.1.4","CADE","Pre-fire",4.18811934618,311.08,13.092664249222,1.44574241805925
"1.2.1","CADE","Pre-fire",4.320646705452,133.32,20.3133371622357,3.01841944818194
"1.2.2","CADE","Pre-fire",0.5043508932,22.22,17,0.264755626238481
"1.2.3","CADE","Pre-fire",0,0,0,0
"1.2.4","CADE","Pre-fire",0,0,0,0
"1.2.5","CADE","Pre-fire",0.017870426112,22.22,3.2,0.000642898641716953
"1.2.6","CADE","Pre-fire",21.957640376364,244.42,33.8204214800896,34.7664120231127
"1.3.1","CADE","Pre-fire",12.495232298472,266.64,24.4266589337688,11.7356743310897
"1.3.2","CADE","Pre-fire",0,0,0,0
"1.3.3","CADE","Pre-fire",0,0,0,0
"1.3.4","CADE","Pre-fire",15.046479948192,66.66,53.6092031899996,49.9006216325769
"1.3.5","CADE","Pre-fire",0,0,0,0
"1.3.6","CADE","Pre-fire",4.806184786788,66.66,30.2985698232331,6.37859262520961
"1.4.1","CADE","Pre-fire",3.3786274368,22.22,44,8.16063089346621
"1.4.2","CADE","Pre-fire",0,0,0,0
"1.4.3","CADE","Pre-fire",0,0,0,0
"1.4.4","CADE","Pre-fire",0.2949318372,22.22,13,0.100656684552819
"1.4.5","CADE","Pre-fire",3.224983656048,199.98,14.3293017585955,1.28679858183444
"1.4.6","CADE","Pre-fire",14.606752285356,244.42,27.5843664550642,16.6747636170192
"2.1.1","CADE","Pre-fire",6.261647225988,22.22,59.9,24.8142144442527
"2.1.2","CADE","Pre-fire",12.563694878196,355.52,21.2119806948809,9.40853768192434
"2.1.3","CADE","Pre-fire",2.895951415896,111.1,18.2176837166529,1.69873124472282
"2.1.4","CADE","Pre-fire",0.049283284512,44.44,3.75765884561119,0.00229447786753053
"2.1.5","CADE","Pre-fire",3.922523628408,111.1,21.2021697002925,2.93526857273005
"2.1.6","CADE","Pre-fire",0,0,0,0
"2.2.1","CADE","Pre-fire",0,0,0,0
"2.2.2","CADE","Pre-fire",0,0,0,0
"2.2.3","CADE","Pre-fire",8.15704674708,66.66,39.4719309552159,16.5507498157346
"2.2.4","CADE","Pre-fire",0,0,0,0
"2.2.5","CADE","Pre-fire",2.305825967676,111.1,16.2558912397937,1.12652470532376
"2.2.6","CADE","Pre-fire",0,0,0,0
"2.3.1","CADE","Pre-fire",0,0,0,0
"2.3.2","CADE","Pre-fire",0,0,0,0
"2.3.3","CADE","Pre-fire",6.57113368758,377.74,14.8825796309171,2.78631827045201
"2.3.4","CADE","Pre-fire",0,0,0,0
"2.3.5","CADE","Pre-fire",0,0,0,0
"2.3.6","CADE","Pre-fire",0,0,0,0
"2.4.1","CADE","Pre-fire",0,0,0,0
"2.4.2","CADE","Pre-fire",0,0,0,0
"2.4.3","CADE","Pre-fire",14.375431486416,177.76,32.0883935403441,20.919498754837
"2.4.4","CADE","Pre-fire",0,0,0,0
"2.4.5","CADE","Pre-fire",0,0,0,0
"2.4.6","CADE","Pre-fire",9.651810162456,111.1,33.2584425371965,14.8765839754193
"3.1.1","CADE","Pre-fire",3.836661815448,133.32,19.1418389921136,2.43657159598176
"3.1.2","CADE","Pre-fire",0,0,0,0
"3.1.3","CADE","Pre-fire",0,0,0,0
"3.1.4","CADE","Pre-fire",0,0,0,0
"3.1.5","CADE","Pre-fire",0,0,0,0
"3.1.6","CADE","Pre-fire",1.9004779332,22.22,33,2.89280786541444
"3.2.1","CADE","Pre-fire",7.583831887632,133.32,26.9123267915157,8.32151374267472
"3.2.2","CADE","Pre-fire",7.907000394216,155.54,25.4413049979752,7.92764797745421
"3.2.3","CADE","Pre-fire",0,0,0,0
"3.2.4","CADE","Pre-fire",2.152007671044,44.44,24.8307269325729,2.07512250964153
"3.2.5","CADE","Pre-fire",0,0,0,0
"3.2.6","CADE","Pre-fire",0,0,0,0
"3.3.2","CADE","Pre-fire",0,0,0,0
"3.3.3","CADE","Pre-fire",28.005191520768,66.66,73.1376783880921,152.906874210523
"3.3.4","CADE","Pre-fire",6.622109776128,22.22,61.6,27.4482906436464
"3.3.5","CADE","Pre-fire",0,0,0,0
"3.3.6","CADE","Pre-fire",9.420402105576,66.66,42.4186279834697,21.4555522008649
"3.4.1","CADE","Pre-fire",0,0,0,0
"3.4.2","CADE","Pre-fire",0,0,0,0
"3.4.3","CADE","Pre-fire",8.381107685412,22.22,69.3,41.9681810838883
"3.4.4","CADE","Pre-fire",0,0,0,0
"3.4.5","CADE","Pre-fire",0,0,0,0
"3.4.6","CADE","Pre-fire",0.4192744017,22.22,15.5,0.189767837346789
"4.1.1","CADE","Pre-fire",0,0,0,0
"4.1.2","CADE","Pre-fire",0,0,0,0
"4.1.3","CADE","Pre-fire",0,0,0,0
"4.1.4","CADE","Pre-fire",0,0,0,0
"4.1.5","CADE","Pre-fire",0,0,0,0
"4.1.6","CADE","Pre-fire",0,0,0,0
"4.2.1","CADE","Pre-fire",0,0,0,0
"4.2.2","CADE","Pre-fire",0,0,0,0
"4.2.3","CADE","Pre-fire",0,0,0,0
"4.2.4","CADE","Pre-fire",0,0,0,0
"4.2.5","CADE","Pre-fire",0,0,0,0
"4.2.6","CADE","Pre-fire",0.0279225408,22.22,4,0.00143715332862183
"4.3.1","CADE","Pre-fire",0,0,0,0
"4.3.2","CADE","Pre-fire",0,0,0,0
"4.3.3","CADE","Pre-fire",0,0,0,0
"4.3.4","CADE","Pre-fire",3.049211261712,22.22,41.8,6.78292995321627
"4.3.5","CADE","Pre-fire",3.137376684288,22.22,42.4,7.14053495315143
"4.3.6","CADE","Pre-fire",0,0,0,0
"4.4.1","CADE","Pre-fire",0,0,0,0
"4.4.2","CADE","Pre-fire",0,0,0,0
"4.4.3","CADE","Pre-fire",0,0,0,0
"4.4.4","CADE","Pre-fire",0,0,0,0
"4.4.5","CADE","Pre-fire",0,0,0,0
"4.4.6","CADE","Pre-fire",0,0,0,0
"1.1.1","PILA","Pre-fire",0,0,0,0
"1.1.2","PILA","Pre-fire",0,0,0,0
"1.1.3","PILA","Pre-fire",0,0,0,0
"1.1.4","PILA","Pre-fire",0,0,0,0
"1.2.1","PILA","Pre-fire",0.6300023268,22.22,19,0.39535166104595
"1.2.2","PILA","Pre-fire",0,0,0,0
"1.2.3","PILA","Pre-fire",0,0,0,0
"1.2.4","PILA","Pre-fire",0,0,0,0
"1.2.5","PILA","Pre-fire",1.0052114688,22.22,24,0.917779520910584
"1.2.6","PILA","Pre-fire",0,0,0,0
"1.3.1","PILA","Pre-fire",0,0,0,0
