"Condition","Species","BA","TPH","SDI","QMD"
"Pre-fire","ABCO","20.66 (22.82)","250.15 (277.58)","50.38 (77.98)","30.05 (20.92)"
"Pre-fire","CADE","2.52 (5.06)","42.05 (82.33)","5.49 (17.97)","11.31 (17.99)"
"Pre-fire","PILA","15.16 (34.55)","30.58 (50.32)","159.93 (579.2)","32.89 (42.99)"
"Pre-fire","PIPO","8.36 (19.98)","48.74 (108.32)","100.45 (443.43)","25.71 (42.16)"
"Pre-fire","PSME","15.08 (30.38)","45.4 (95.51)","173.65 (578.17)","32.27 (47)"
"Pre-fire","QUKE","11.43 (13.53)","321.11 (291.57)","12.62 (21.78)","19.78 (10.6)"
"Post-Storrie Fire","ABCO","14.38 (19.07)","204.76 (286.19)","34.48 (61.93)","24.48 (22.71)"
"Post-Storrie Fire","CADE","2.31 (4.77)","39.42 (82.11)","6.34 (27.67)","10.44 (19.52)"
"Post-Storrie Fire","PILA","3.64 (8.58)","11.71 (20.87)","28.25 (90.27)","17.21 (32.51)"
"Post-Storrie Fire","PIPO","4.15 (10.04)","41.1 (105.24)","21.04 (82.08)","16.41 (26.15)"
"Post-Storrie Fire","PSME","8.58 (15.95)","37.99 (95.66)","67.06 (180.85)","23.48 (40.02)"
"Post-Storrie Fire","QUKE","9.27 (12.56)","325.42 (293.19)","9.43 (16.18)","17.07 (11.14)"
"Post-Chips Fire","ABCO","6.23 (10.32)","87.45 (194.04)","15.83 (33.81)","17.8 (24.09)"
"Post-Chips Fire","CADE","0.95 (2.82)","19.83 (55.35)","1.72 (6.29)","5.68 (13.15)"
"Post-Chips Fire","PILA","2.49 (7.79)","5.5 (14.15)","22.1 (86.78)","10.85 (29.4)"
"Post-Chips Fire","PIPO","2.36 (6.09)","15.29 (34.82)","17.38 (71.12)","13.62 (28.48)"
"Post-Chips Fire","PSME","4.78 (10.68)","30.34 (83.45)","24.78 (80.77)","13.99 (27.78)"
"Post-Chips Fire","QUKE","6.08 (9.95)","342.62 (295.95)","4.84 (12.39)","13.12 (8.02)"
