Storrie Severity,Chips Severity,plot num,plot,Spp,dist,azim,dbh,snag_stump  diam,per live crown,snag class,fire hist,live emer ht
1,1,1,1.1.1,ABCO,6,351,4.5,0,70,,SSSC,1.4
1,1,1,1.1.1,ABCO,4.5,351,4.2,0,35, ,SSSC,1.5
1,1,1,1.1.1,ABCO,6.7,16,8.5,0,45,,SSSC,1.5
1,1,1,1.1.1,ABCO,6.7,18,6.7,0,60,,SSSC,1.5
1,1,1,1.1.1,ABCO,9.3,234,20.5,0,35,,SSSC,1.6
1,1,1,1.1.1,ABCO,10.1,328,5.8,0,80,,SSSC,1.6
1,1,1,1.1.1,ABCO,4.1,210,11.8,0,35,,SSSC,1.7
1,1,1,1.1.1,ABCO,4.8,213,7,0,55,,SSSC,1.7
1,1,1,1.1.1,ABCO,6.7,189,14.3,0,45,,SSSC,1.7
1,1,1,1.1.1,ABCO,11.7,221,25,0,35,,SSSC,1.7
1,1,1,1.1.1,ABCO,4.3,153,2.4,0,80,,SSSC,1.8
1,1,1,1.1.1,ABCO,5.6,13,6.8,0,30,,SSSC,1.8
1,1,1,1.1.1,ABCO,5.6,207,29,0,45,,SSSC,1.8
1,1,1,1.1.1,ABCO,6.7,78,7.7,0,75,,SSSC,1.8
1,1,1,1.1.1,ABCO,6.8,82,5.3,0,75,,SSSC,1.8
1,1,1,1.1.1,ABCO,9.6,268,12.9,0,40,,SSSC,1.8
1,1,1,1.1.1,ABCO,11.1,275,4.3,0,45,,SSSC,1.8
1,1,1,1.1.1,ABCO,6,0,3.8,0,45,,SSSC,1.9
1,1,1,1.1.1,ABCO,9,188,13.5,0,45,,SSSC,1.9
1,1,1,1.1.1,ABCO,9.7,256,5.3,0,40,,SSSC,1.9
1,1,1,1.1.1,ABCO,10.3,234,5.1,0,70,,SSSC,1.9
1,1,1,1.1.1,ABCO,3.4,10,5.8,0,65,,SSSC,2
1,1,1,1.1.1,ABCO,5.1,252,3.3,0,15,,SSSC,2
1,1,1,1.1.1,ABCO,8.2,270,5.5,0,15,,SSSC,2
1,1,1,1.1.1,ABCO,8.8,275,5.5,0,15,,SSSC,2
1,1,1,1.1.1,ABCO,9.5,273,3.4,0,5,,SSSC,2
1,1,1,1.1.1,ABCO,6.3,74,6.1,0,55,,SSSC,2.1
1,1,1,1.1.1,ABCO,10,104,10.9,0,80,,SSSC,2.1
1,1,1,1.1.1,ABCO,8.3,283,22.8,0,65,,SSSC,2.2
1,1,1,1.1.1,ABCO,9.7,188,5,0,40,,SSSC,2.2
1,1,1,1.1.1,ABCO,4.4,2,5.5,0,30,,SSSC,2.3
1,1,1,1.1.1,ABCO,5.2,239,16.5,0,30,,SSSC,2.4
1,1,1,1.1.1,ABCO,6.1,33,4.1,0,70,,SSSC,2.5
1,1,1,1.1.1,ABCO,6.2,75,2.8,0,55,,SSSC,2.6
1,1,1,1.1.1,ABCO,11.4,311,8.2,0,85,,SSSC,2.6
1,1,1,1.1.1,ABCO,6.5,321,3.6,0,85,,SSSC,2.7
1,1,1,1.1.1,ABCO,8.6,281,7.4,0,40,,SSSC,3.4
1,1,1,1.1.1,CADE,3.3,237,11.6,0,25,,SSSC,2.4
1,1,1,1.1.1,PIMO,9.8,15,,29,,3,U,
1,1,1,1.1.1,PIPO,5.2,118,42.1,0,35,,SSSC,2.4
1,1,1,1.1.1,PSME,6.3,202,86.3,0,70,,SSSC,2.1
1,1,1,1.1.1,PSME,7,297,3.2,0,55,,SSSC,2.1
1,1,1,1.1.1,PSME,5.9,78,29.2,0,60,,SSSC,2.4
1,1,1,1.1.1,PSME,10,261,82.4,0,55,,SSSC,2.4
1,1,1,1.1.1,PSME,4.6,26,23.7,0,65,,SSSC,2.5
1,1,1,1.1.1,PSME,4.8,351,66.2,0,75,,SSSC,2.5
1,1,1,1.1.1,PSME,6.1,5,73.6,0,40,,SSSC,2.7
1,1,1,1.1.1,QUKE,5.6,82,13.9,0,45,,SSSC,2
1,1,1,1.1.1,QUKE,5.5,89,14.8,0,50,,SSSC,2.4
1,1,1,1.1.1,QUKE,5.2,85,17.4,0,50,,SSSC,2.6
1,1,2,1.1.2,ABCO,10.7,245,8.8,0,75,,SSSC,2.2
1,1,2,1.1.2,ABCO,10.7,34,6.6,0,75,,SSSC,2.4
1,1,2,1.1.2,ABCO,2.7,102,2.8,0,75,,SSSC,2.6
1,1,2,1.1.2,ABCO,11.2,249,7.6,0,25,,SSSC,2.6
1,1,2,1.1.2,ABCO,11.4,260,5.8,0,40,,SSSC,2.7
1,1,2,1.1.2,ABCO,11.1,254,6.5,0,60,,SSSC,2.8
1,1,2,1.1.2,ABCO,10.8,275,8.4,0,65,,SSSC,3.3
1,1,2,1.1.2,CADE,10.3,239,6.2,0,75,,SSSC,3.2
1,1,2,1.1.2,PIPO,5.6,2,45.3,0,50,,SSSC,1.8
1,1,2,1.1.2,PIPO,8.1,143,30.2,0,30,,SSSC,1.9
1,1,2,1.1.2,PIPO,11.4,143,20,0,5,,SSSC,2.1
1,1,2,1.1.2,PIPO,6.3,120,12,0,15,,SSSC,2.5
1,1,2,1.1.2,PIPO,7.2,342,37,0,30,,SSSC,2.9
1,1,2,1.1.2,PIPO,3.3,75,18.9,0,5,,SSSC,3.1
1,1,2,1.1.2,PIPO,11.1,11.2,51.5,0,20,,SSSC,3.4
1,1,2,1.1.2,PSME,8.7,326,5.5,0,65,,SSSC,0.4
1,1,2,1.1.2,PSME,5.9,21,5.8,0,45,,SSSC,0.5
1,1,2,1.1.2,PSME,5.9,26,5.5,0,55,,SSSC,0.5
1,1,2,1.1.2,PSME,6.8,34,4.4,0,60,,SSSC,0.5
1,1,2,1.1.2,PSME,10.8,356,19.5,0,60,,SSSC,0.6
1,1,2,1.1.2,PSME,6.4,32,5.4,0,55,,SSSC,0.7
1,1,2,1.1.2,PSME,8.6,75,4.5,0,40,,SSSC,1.6
1,1,2,1.1.2,PSME,6.8,69,15.4,0,60,,SSSC,1.7
1,1,2,1.1.2,PSME,1,83,44,0,60,,SSSC,1.9
1,1,2,1.1.2,PSME,4.1,275,11.5,0,35, ,SSSC,1.9
