"","plot","ABCO","CADE","PILA","PIPO","PSME","QUKE"
"1","1.1.1",5,0,0,1,3,0
"2","1.1.2",0,1,0,0,2,2
"3","1.1.3",4,0,0,0,0,2
"4","1.1.4",2,0,0,0,0,24
"5","1.2.1",0,0,0,0,0,0
"6","1.2.2",0,0,0,0,0,0
"7","1.2.3",0,0,0,0,0,1
"8","1.2.4",0,0,0,0,0,38
"9","1.2.5",0,0,0,0,0,0
"10","1.2.6",0,0,0,0,0,0
"11","1.3.1",3,0,2,0,0,3
"12","1.3.2",0,0,0,0,0,0
"13","1.3.3",0,0,0,0,0,0
"14","1.3.4",0,0,0,0,0,0
"15","1.3.5",0,0,0,0,0,0
"16","1.3.6",0,0,0,0,0,0
"17","1.4.1",0,0,0,0,0,0
"18","1.4.2",0,0,0,0,0,1
"19","1.4.3",0,0,0,0,0,1
"20","1.4.4",0,0,0,0,0,0
"21","1.4.5",0,0,0,0,0,0
"22","1.4.6",0,0,0,0,0,0
"23","2.1.1",10,1,2,0,1,3
"24","2.1.2",0,0,0,1,1,0
"25","2.1.3",1,0,1,0,0,0
"26","2.1.4",1,0,1,0,0,11
"27","2.1.5",13,0,6,0,0,0
"28","2.1.6",9,0,0,0,1,0
"29","2.2.1",0,0,0,0,0,8
"30","2.2.2",0,0,0,0,0,6
"31","2.2.3",6,0,0,1,0,1
"32","2.2.4",0,0,0,0,0,19
"33","2.2.5",0,0,4,1,0,3
"34","2.2.6",0,0,0,0,0,1
"35","2.3.1",0,0,0,0,0,5
"36","2.3.2",0,0,1,0,0,1
"37","2.3.3",0,0,0,0,0,0
"38","2.3.4",8,0,6,6,0,0
"39","2.3.5",3,0,0,0,0,3
"40","2.3.6",0,0,1,1,0,25
"41","2.4.1",96,0,1,3,0,3
"42","2.4.2",0,0,2,0,2,0
"43","2.4.3",0,0,0,0,0,0
"44","2.4.4",0,0,0,0,0,1
"45","2.4.5",23,0,0,1,0,0
"46","2.4.6",0,0,0,0,0,0
"47","3.1.1",0,0,0,1,0,0
"48","3.1.2",0,0,1,1,0,1
"49","3.1.3",4,0,0,0,0,1
"50","3.1.4",0,0,0,0,0,0
"51","3.1.5",10,0,1,0,0,0
"52","3.1.6",1,0,0,0,0,0
"53","3.2.1",0,0,1,0,0,1
"54","3.2.2",0,0,2,0,0,0
"55","3.2.3",0,0,0,0,0,0
"56","3.2.4",6,0,1,0,1,1
"57","3.2.5",0,0,2,0,0,0
"58","3.2.6",1,0,0,0,1,1
"59","3.3.2",0,0,0,0,0,0
"60","3.3.3",0,0,0,0,0,0
"61","3.3.4",0,0,0,0,0,0
"62","3.3.5",0,0,0,0,0,0
"63","3.3.6",0,0,3,0,0,1
"64","3.4.1",0,0,0,1,0,0
"65","3.4.2",0,0,0,0,0,0
"66","3.4.3",0,0,1,0,0,0
"67","3.4.4",0,0,0,0,0,0
"68","3.4.5",0,0,0,0,0,0
"69","3.4.6",0,0,0,0,0,0
"70","4.1.1",0,0,0,0,0,0
"71","4.1.2",0,0,0,0,0,0
"72","4.1.3",13,0,6,0,8,0
"73","4.1.4",0,0,0,0,0,4
"74","4.1.5",0,0,0,0,0,0
"75","4.1.6",0,0,0,0,0,0
"76","4.2.1",0,0,0,0,0,0
"77","4.2.2",1,0,0,0,0,2
"78","4.2.3",0,1,0,1,0,1
"79","4.2.4",0,0,0,0,0,0
"80","4.2.5",0,0,0,0,0,0
"81","4.2.6",0,0,0,0,0,0
"82","4.3.1",0,0,0,0,0,3
"83","4.3.2",0,0,0,1,0,0
"84","4.3.3",0,0,0,0,0,0
"85","4.3.4",0,0,0,1,0,1
"86","4.3.5",0,0,0,0,0,0
"87","4.3.6",0,0,0,0,0,2
"88","4.4.1",0,0,0,0,0,0
"89","4.4.2",0,0,0,0,0,0
"90","4.4.3",0,0,0,0,0,0
"91","4.4.4",0,0,0,1,0,0
"92","4.4.5",0,0,0,0,0,0
"93","4.4.6",0,0,0,0,0,0
