plot,storrie_rdnbr,chips_rdnbr,num Chips sprouts,Chips BA clump,Chips BA ha,per Storrie sprout BA killed Chips,per Storrie num killed Chips,Mean crown area,Max of oak live emer ht,,
1.1.1,198,207,0,0,0,,,0,0,,
1.1.2,0,0,0,0,0,,,0,0,,
1.1.3,0,0,0,0,0,,,0,0,,
1.1.4,0,0,0,0,0,,,0,0,,
1.2.1,59,56,0,0,0,,,0,0,,
1.2.2,130,36,0,0,0,,,0,0,,
1.2.3,190,50,0,0,0,,,0,0,,
1.2.4,685,437,0,0,0,,,0,0,,
1.2.5,168,332,49,84,0.0084,,,0,0,,
1.2.6,109,92,0,0,0,,,0,0,,
1.3.1,110,250,37,34.28262983,0.003428271,,,0.576413956,2.2,,
1.3.2,68,577,19,28.42355953,0.002842363,,,0.336599213,2.3,,
1.3.3,207,137,39,32.63329369,0.003263337,,,0.65834846,1.8,,
1.3.4,-103,600,49,88.09025801,0.008809046,,,0.665589244,2.6,,
1.3.5,-2,509,22,44.6891555,0.004468926,,,0.886003928,2.4,,
1.3.6,21,581,31,68.67521541,0.006867538,,,1.205792865,2.1,,
1.4.1,-84,954,12,36.84302784,0.003684311,,,0.290073722,3.4,,
1.4.2,49,789,28,85.16072286,0.008516092,,,0.70479151,2.4,,
1.4.3,23,1055,25,87.90961643,0.008790982,,,0.428565598,2.6,,
1.4.4,2,869,50,167.5568442,0.016755724,,,0.305561222,3.3,,
1.4.5,40,1014,65,274.119667,0.027412031,,,0.747306352,3.4,,
1.4.6,-106,875,51,117.8254325,0.011782571,,,0.522563755,3.3,,
2.1.1,399,77,0,0,0,0,0,1.661117116,1.7,,
2.1.2,130,433,0,0,0,,,0,0,,
2.1.3,333,65,0,0,0,0,0,0,0,,
2.1.4,164,200,0,0,0,,,0.219911486,0.7,,
2.1.5,152,39,0,0,0,0,0,,0,,
2.1.6,285,121,0,0,0,0,0,,0,,
2.2.1,50,101,3,0.353429174,0.000035343,,,0,0,,
2.2.2,37,121,0,0,0,,,0,0,,
2.2.3,227,36,0,0,0,,,0,0,,
2.2.4,130,272,0,0,0,,,,0,,
2.2.5,335,175,16,18.86526388,0.001886531,,,0,1.9,,
2.2.6,148,108,7,2.128429023,0.000212843,,,0.579986336,1.4,,
2.3.1,286,339,38,52.99081408,0.005299094,,,1.64648015,2,,
2.3.2,392,167,6,7.814711726,0.000781473,,,0.26507188,1.5,,
2.3.3,261,119,0,0,0,,,0.310463274,1.9,,
2.3.4,413,187,19,16.95674635,0.001695679,,,1.437278639,1.9,,
2.3.5,555,301,18,46.04004034,0.004604015,,,1.005309649,2.6,,
2.3.6,513,614,32,87.666143,0.008766635,,,0.792691146,2.1,,
2.4.1,572,672,14,37.77765166,0.003777774,,,0.533564043,2.9,,
2.4.2,481,719,46,11.29402559,0.001129405,,,0.30036173,2.1,,
2.4.3,354,725,54,17.67931266,0.001767935,,,0.069339438,0.7,,
2.4.4,597,614,49,96.86315549,0.009686338,,,0.583007098,2.5,,
2.4.5,229,680,34,51.80486286,0.005180498,,,0,1.5,,
2.4.6,338,751,36,71.29844527,0.007129861,1,1,0.40193906,1.7,,
3.1.1,250,53,0,0,0,0,0,0,0,,
3.1.2,709,88,0,0,0,0,0,,0,,
3.1.3,493,-96,0,0,0,0,0,,0,,
3.1.4,728,0,0,0,0,0,0,,0,,
3.1.5,383,97,0,0,0,0.03,0.07,,0,,
3.1.6,565,50,0,0,0,0,0,,0,,
3.2.1,434,182,0,0,0,,,2.336559536,2,,
3.2.2,144,389,3,1.837831702,0.000183784,,,0,0,,
3.2.3,144,389,52,78.19424115,0.007819442,1,1,2.136283004,2.3,,
3.2.4,404,179,53,38.10751889,0.003810761,1,1,1.365470807,2,,
3.2.5,538,867,23,29.90796206,0.002990803,0.35,0.63,1.257946058,2.5,,
3.2.6,547,561,50,136.2508734,0.013625119,1,1,0.896924703,3.2,,
3.3.2,576,452,64,89.8888198,0.008988903,1,1,7.716536955,2.3,,
3.3.3,576,452,55,100.4210092,0.010042124,1,1,1.055051533,2.4,,
3.3.4,628,400,43,37.94258527,0.003794267,1,1,0.687916391,3.7,,
3.3.5,783,654,54,122.1529764,0.012215326,1,1,6.512259772,2.6,,
3.3.6,828,556,26,94.42842119,0.009442864,1,1,3.548877701,3,,
3.4.1,591,764,36,41.55541683,0.004155551,1,1,2.243620753,3,,
3.4.2,691,673,47,88.87565617,0.008887586,1,1,1.237304184,3.2,,
3.4.3,312,630,39,42.92986361,0.004292996,1,1,0.735132681,1.8,,
3.4.4,861,819,31,61.12753906,0.006112768,1,1,1.95014364,3.2,,
3.4.5,685,694,116,273.8212157,0.026144395,1,1,2.436479636,2.8,,
3.4.6,1000,670,78,96.67465993,0.009667489,1,1,3.606548366,2.6,,
4.1.1,1220,-140,0,0,0,0,0,,0,,
4.1.2,731,20,0,0,0,0,0,,0,,
4.1.3,698,-43,0,0,0,0,0,,0,,
4.1.4,1016,-453,0,0,0,0,0,,0,,
4.1.5,737,0,0,0,0,0,0,,0,,
4.1.6,883,0,0,0,0,0,0,,0,,
4.2.1,802,501,65,107.8587298,0.010785898,1,1,0,3,,
4.2.2,881,-162,0,0,0,0,0,6.597344573,2.3,, 
4.2.3,716,475,41,40.5815231,0.004058162,1,1,0.979784209,2.1,,
4.2.4,823,590,63,209.5677919,0.020956828,1,1,8.462665211,2.5,,
4.2.5,1064,676,100,185.4874842,0.018017861,0.67,0.9,2.953969759,3.5,,
4.2.6,793,472,15,34.64391299,0.003464399,1,1,0.994837674,2.2,,
4.3.1,1001,605,77,129.2058519,0.012260094,1,1,3.437098713,3.5,,
4.3.2,485,819,46,117.4013175,0.011740159,1,1,4.826271714,2.6,,
4.3.3,747,640,24,67.4814102,0.004981007,1,1,0.468097305,3,,
4.3.4,707,442,79,120.7392597,0.012073954,1,1,1.829977721,2.8,,
4.3.5,1048,810,28,47.32023934,0.004732035,1,1,4.319689899,2.9,,
4.3.6,897,706,22,60.69557007,0.006069571,1,1,1.544990387,3.3,,
4.4.1,1037,891,76,116.8672467,0.011686752,1,1,2.493639169,4.2,,
4.4.2,1097,810,19,41.70464248,0.004170474,1,1,8.513716091,2.1,,
4.4.3,892,726,8,10.54004335,0.001054007,,,8.769327493,2.9,,
4.4.4,756,662,16,37.51061628,0.00375107,,,1.685464459,2.7,,
4.4.5,757,819,48,171.1382598,0.017113866,1,1,11.0767321,3.1,,
4.4.6,870,597,65,179.7540777,0.01797545,1,1,5.004557097,2.7,,
